# NTC's Super Mini English Dictionary — 1000+ Word Expansion
# Format: word | definition

about | on the subject of; concerning
above | at a higher level or layer than
accept | to receive willingly
accident | an unfortunate incident that happens unexpectedly
accompany | to go somewhere with someone
accomplish | to achieve or complete successfully
according | as stated by or in
account | a record of financial transactions
accurate | correct in all details; exact
achieve | to successfully bring about or accomplish
acid | a chemical substance that neutralizes alkalis
across | from one side to the other
act | to take action; do something
action | the fact or process of doing something
active | engaging or ready to engage in physically energetic pursuits
activity | a thing that a person or group does
actor | a person whose profession is acting
actual | existing in fact; real
add | to join something to something else
addition | the action or process of adding
address | the particulars of the place where someone lives
adequate | satisfactory or acceptable in quality or quantity
adjust | to alter or move slightly to achieve the desired fit
administration | the process of running a business or organization
admire | to regard with respect or warm approval
admit | to confess to be true or to be the case
adopt | to legally take another's child and bring it up as one's own
adult | a person who is fully grown or developed
advance | to move forward in a purposeful way
advantage | a condition or circumstance that puts one in a favorable position
adventure | an unusual and exciting experience
advertise | to describe or draw attention to in a public medium
advice | guidance or recommendations offered with regard to action
affair | an event or sequence of events of a specified kind
affect | to make a difference to; impact
afraid | feeling fear or anxiety; frightened
after | following in time, place, or order
afternoon | the time from noon or lunchtime to evening
again | another time; once more
against | in opposition to
age | the length of time that a person has lived
agency | a business or organization providing a particular service
agent | a person who acts on behalf of another
ago | before the present; earlier
agree | to have the same opinion about something
agriculture | the science or practice of farming
ahead | further forward in space or time
aid | help, typically of a practical nature
aim | to point or direct at a target
air | the invisible gaseous substance surrounding the earth
aircraft | a machine capable of flight
airline | a company providing air transport services
airplane | a powered flying vehicle with fixed wings
airport | a complex of runways and buildings for aircraft
alarm | an anxious awareness of danger
alcohol | a colorless volatile flammable liquid
alive | living; not dead
all | used to refer to the whole quantity or extent
allow | to give permission for or to
almost | not quite; very nearly
alone | having no one else present
along | moving in a constant direction
already | before or by now or the time in question
also | in addition; too
although | in spite of the fact that
always | at all times; on all occasions
amaze | to surprise someone greatly
amount | a quantity of something
amuse | to cause someone to find something funny
analyze | to examine methodically in order to explain
ancient | belonging to the very distant past
anger | a strong feeling of annoyance or hostility
angle | the space between two intersecting lines
angry | feeling or showing anger
animal | a living organism that feeds on organic matter
announce | to make a public and formal declaration
annual | occurring once every year
another | an additional one
answer | a thing said or written in reaction to a question
anticipate | to regard as probable; expect or predict
anxiety | a feeling of worry or unease
anxious | feeling or showing worry or unease
any | used to refer to one or some of a thing
anyone | any person or people
anything | used to refer to a thing, no matter what
anyway | used to confirm or support a point just mentioned
anywhere | in or to any place
apart | separated by a distance
apartment | a suite of rooms forming one residence
apologize | to express regret for something
apparent | clearly visible or understood; obvious
appear | to come into sight; become visible
appearance | the way that someone or something looks
apple | the round fruit of a tree
application | a formal request to an authority
apply | to make a formal request
appoint | to assign a job or role to someone
appointment | an arrangement to meet someone at a particular time
appreciate | to recognize the full worth of
approach | to come near or nearer to
appropriate | suitable or proper in the circumstances
approve | to officially agree to or accept
architect | a person who designs buildings
area | a region or part of a town, country, or world
argue | to give reasons or cite evidence in support
arise | to get or stand up
arm | each of the two upper limbs of the human body
army | an organized military force equipped for fighting
around | located or situated on every side
arrange | to put in proper order; dispose
arrest | to seize and hold by legal authority
arrive | to reach a place at the end of a journey
art | the expression of creative skill and imagination
article | a particular item or object
artist | a person who creates paintings or drawings
as | used in comparisons to refer to the extent of something
ash | the powdery residue left after burning
aside | to one side; out of the way
ask | to say something in order to obtain information
asleep | in or into a state of sleep
aspect | a particular part or feature
assist | to help someone
assistance | the provision of helping or doing work for someone
associate | to connect someone or something with something else
assume | to suppose to be the case, without proof
assure | to tell someone something positively to dispel doubts
at | expressing location or arrival in a particular place
athlete | a person who is proficient in sports
atmosphere | the envelope of gases surrounding the earth
attach | to fasten or join one thing to another
attack | to take aggressive action against
attempt | to make an effort to achieve or complete
attend | to be present at an event
attention | notice taken of someone or something
attitude | a settled way of thinking or feeling
attract | to cause to come to a place or participate
audience | the assembled spectators or listeners at an event
author | a writer of a book, article, or report
authority | the power or right to give orders
automatic | working by itself with little or no direct human control
automobile | a road vehicle, typically with four wheels
available | able to be used or obtained; at someone's disposal
average | a number expressing the central value of a set
avoid | to keep away from or stop oneself from doing
awake | to stop sleeping
award | to give or order the giving of as a prize
aware | having knowledge of something
away | to or at a distance from a particular place
awful | very bad or unpleasant
background | the part of a picture or scene that is farthest from the viewer
backward | directed behind or to the rear
bacteria | microorganisms that are typically a few micrometres in length
bad | of poor quality or a low standard
bag | a container used for carrying things
bake | to cook food by dry heat without direct exposure to a flame
balance | an even distribution of weight enabling someone to remain upright
ball | a solid or hollow spherical or egg-shaped object
balloon | a small inflatable rubber pouch
ban | to officially or legally prohibit
band | a flat, thin strip or loop of material
bank | the land alongside or sloping down to a river
bar | a long rigid piece of wood or metal
bare | uncovered; without clothing
bargain | an agreement between two or more parties
bark | the sharp explosive cry of certain animals
barn | a large farm building used for storage
base | the lowest part or edge of something
basic | forming an essential foundation
basis | the underlying support or foundation for an idea
basket | a container used to hold or carry things
bat | an implement with a handle and a solid surface
bath | an act or process of immersing and washing one's body
battle | a sustained fight between large organized armed forces
be | to exist; to have reality
beach | a pebbly or sandy shore by the sea
bear | to carry; to support the weight of
beat | to strike repeatedly so as to inflict pain
beautiful | pleasing the senses or mind aesthetically
because | for the reason that; since
become | to begin to be; to develop into
bed | a piece of furniture for sleep or rest
bedroom | a room for sleeping in
beef | the flesh of a cow, bull, or ox
beer | an alcoholic drink made from yeast-fermented malt
before | during the period of time preceding
beg | to ask someone earnestly or humbly for something
begin | to start; to perform or undergo the first part of an action
beginning | the point in time or space at which something starts
behave | to act or conduct oneself in a specified way
behavior | the way in which one acts or conducts oneself
behind | at or to the far side of something
believe | to accept something as true; feel sure of the truth of
bell | a hollow metal object that makes a ringing sound
belong | to be the property of
below | at a lower level or layer than
belt | a strip of leather or other material worn around the waist
bench | a long seat for several people
bend | to shape or force something straight into a curve
benefit | an advantage or profit gained from something
beside | at the side of; next to
best | of the most excellent or desirable type
bet | to risk something on the outcome of a future event
better | of a more excellent or effective type
between | at, into, or across the space separating two objects
beyond | at or to the further side of
bicycle | a vehicle composed of two wheels held in a frame
big | of considerable size or extent
bill | an amount of money owed for goods supplied
billion | the number equivalent to one thousand million
bind | to tie or fasten tightly together
biography | an account of someone's life written by someone else
biology | the study of living organisms
bird | a warm-blooded egg-laying vertebrate animal
birth | the emergence of a baby from the body of its mother
birthday | the anniversary of the day on which a person was born
bit | a small piece or quantity of something
bite | to use the teeth to cut into something
black | of the very darkest color
blade | the flat cutting edge of a knife or similar tool
blame | to assign responsibility for a fault or wrong
blank | not written or printed on
blind | unable to see
block | a large solid piece of hard material
blood | the red liquid that circulates in the arteries and veins
blow | to move creating an air current
blue | of a color intermediate between green and violet
board | a long, thin, flat piece of wood
boat | a small vessel propelled on water by oars or an engine
body | the physical structure of a person or an animal
boil | to reach or cause to reach the temperature at which it bubbles
bomb | a container filled with explosive or incendiary material
bond | a thing used to tie something or to fasten things together
bone | any of the pieces of hard tissue making up the skeleton
book | a written or printed work consisting of pages
boot | a sturdy item of footwear covering the foot and ankle
border | a line separating two countries or areas
bore | to make a hole in something with a drill
born | existing as a result of birth
borrow | to take and use something belonging to someone else
boss | a person who is in charge of a worker or organization
both | used to refer to two people or things
bother | to take the trouble to do something
bottle | a container with a narrow neck used for storing liquids
bottom | the lowest point or part
bowl | a round, deep dish used for food
box | a container with a flat base and sides
boy | a male child or young man
brain | an organ of soft nervous tissue contained in the skull
branch | a part of a tree that grows out from the trunk
brave | ready to face and endure danger or pain
bread | food made of flour, water, and yeast
break | to separate into pieces as a result of a blow or shock
breakfast | the first meal of the day
breath | the air taken into or expelled from the lungs
breathe | to take air into the lungs and then expel it
brick | a small rectangular block typically made of fired clay
bridge | a structure carrying a road or path across an obstacle
brief | of short duration; not lasting for long
bright | giving out or reflecting much light
bring | to take or go with someone or something to a place
broad | having a distance larger than usual from side to side
broadcast | to transmit a program or information by radio or television
brother | a man or boy in relation to other children of his parents
brown | of a color produced by mixing red, yellow, and blue
brush | an implement with a handle and bristles
budget | an estimate of income and expenditure for a set period
build | to construct something by putting parts or material together
building | a structure with a roof and walls
bullet | a projectile for firing from a gun
bunch | a number of things growing or fastened together
burn | to flame or glow while consuming a material
burst | to break open or apart suddenly and violently
bury | to put or hide under ground
bus | a large motor vehicle carrying passengers
bush | a shrub or clump of shrubs with stems of moderate length
business | a person's regular occupation or trade
busy | having a great deal to do
but | used to introduce something contrasting with what has been said
butter | a pale yellow edible fatty substance
button | a small disk or knob sewn onto a garment
buy | to acquire in exchange for payment
by | identifying the agent performing an action
calculate | to determine the amount or number of something mathematically
call | to cry out a word or words
calm | not showing or feeling nervousness or anger
camera | a device for recording visual images
camp | a place with temporary accommodation in tents or cabins
campaign | a series of military operations in a particular area
campus | the grounds and buildings of a university or college
can | to be able to
cancel | to decide or announce that a planned event will not take place
cancer | a disease caused by an uncontrolled division of abnormal cells
candidate | a person who applies for a job or is nominated for election
cap | a kind of soft flat hat
capable | having the ability or fitness to do something
capacity | the maximum amount that something can contain
capital | the city or town that functions as the seat of government
captain | the person in command of a ship, aircraft, or team
capture | to take into one's possession or control by force
car | a road vehicle with an engine and four wheels
card | a piece of thick stiff paper or thin cardboard
care | the provision of what is necessary for health and welfare
career | an occupation undertaken for a significant period of life
careful | making sure of avoiding potential danger or harm
careless | not giving sufficient attention or thought to avoiding harm
carpet | a floor covering made from thick woven fabric
carry | to support and move someone or something from one place to another
case | an instance of a particular situation; an example of something occurring
cash | money in coins or notes
cast | to throw forcefully in a specified direction
castle | a large building, typically of the medieval period
cat | a small domesticated carnivorous mammal
catch | to intercept and hold something that has been thrown
category | a class or division of people or things regarded as having shared characteristics
cattle | large ruminant animals with horns and cloven hoofs
cause | a person or thing that gives rise to an action or condition
cave | a large natural underground chamber in a hillside or cliff
cell | the smallest structural and functional unit of an organism
center | the point that is equally distant from every point on the circumference
century | a period of one hundred years
ceremony | a formal religious or public occasion
certain | known for sure; established beyond doubt
chain | a series of connected links or rings
chair | a separate seat for one person, typically with a back and four legs
challenge | a call to take part in a contest or competition
champion | a person who has defeated all opponents in a competition
chance | a possibility of something happening
change | to make or become different
channel | a length of water wider than a strait
chapter | a main division of a book, typically with a number or title
character | the mental and moral qualities distinctive to an individual
charge | to demand a price from someone for a service rendered
charity | an organization set up to provide help and raise money
charm | the power or quality of delighting or attracting people
chart | a sheet of information in the form of a table or graph
chase | to pursue in order to catch or catch up with
cheap | low in price, especially in relation to similar items
cheat | to act dishonestly or unfairly in order to gain an advantage
check | to examine something in order to ascertain its accuracy
cheek | either side of the face below the eye
cheer | to shout for joy or in praise or encouragement
cheese | a food made from the pressed curds of milk
chemical | relating to chemistry or the interactions of substances
chemistry | the branch of science concerned with the substances of which matter is composed
chest | the front surface of a person's body
chicken | a domestic fowl kept for its eggs or meat
chief | a leader or ruler of a people or clan
child | a young human being below the age of puberty
childhood | the state or period of being a child
chocolate | a food preparation made from roasted and ground cacao seeds
choice | an act of selecting or making a decision when faced with two or more possibilities
choose | to pick out or select from a number of alternatives
church | a building used for public Christian worship
cigarette | a thin cylinder of finely cut tobacco rolled in paper for smoking
circle | a round plane figure whose boundary consists of points equidistant from the center
circumstance | a fact or condition connected with or relevant to an event or action
citizen | a legally recognized subject or national of a state or commonwealth
city | a large town
claim | to state or assert that something is the case
civil | relating to ordinary citizens and their concerns
class | a set or category of things having some property or attribute in common
classic | judged over a period of time to be of the highest quality
classroom | a room in which a class of pupils or students is taught
clay | a stiff, sticky fine-grained earth
clean | free from dirt, marks, or stains
clear | easy to perceive, understand, or interpret
clerk | a person employed in an office or bank
