# HACKING, SECURITY & PENETRATION TESTING
# Format: term | definition

aircrack-ng | a complete suite of tools to assess WiFi network security
arp spoofing | a technique by which an attacker sends spoofed ARP messages onto a local network
backdoor | a method of bypassing normal authentication or securing remote access to a computer
beef | the browser exploitation framework; a penetration testing tool that focuses on the web browser
bind shell | a type of shell where the target machine opens up a communication port waiting for an attacker
black hat | a hacker who violates computer security for personal gain or malicious intent
bluetooth hacking | the practice of exploiting vulnerabilities in Bluetooth implementations to gain unauthorized access
brute force | a trial-and-error method used to obtain information such as a user password or personal identification number
buffer overflow | an anomaly where a program writes data beyond the boundaries of a fixed-length buffer
burp suite | an integrated platform for performing security testing of web applications
cain and abel | a password recovery tool for Microsoft operating systems
ciphertext | the result of encryption performed on plaintext using an algorithm
cracking | the process of breaking into computer systems or software by defeating security mechanisms
cve | common vulnerabilities and exposures; a list of publicly disclosed cybersecurity vulnerabilities
cyber kill chain | a model developed by Lockheed Martin describing the stages of a cyberattack
ddos | distributed denial of service; an attack where multiple compromised systems attack a single target
decryption | the process of transforming ciphertext back into plaintext
dictionary attack | a technique for defeating a cipher or authentication mechanism by trying hundreds or thousands of likely possibilities
digital forensics | the process of uncovering and interpreting electronic data for use in a court of law
dns spoofing | a type of computer security hacking where a user is forced to navigate to a fake website
dos | denial of service; an attack meant to shut down a machine or network making it inaccessible
encryption | the process of encoding information so that only authorized parties can access it
enumeration | the process of extracting user names, machine names, network resources, shares, and services from a system
exploit | a piece of software, chunk of data, or sequence of commands that takes advantage of a bug or vulnerability
exploitdb | an archive of public exploits and corresponding vulnerable software developed for use by penetration testers
footprinting | the technique of collecting information about computer systems and the entities they belong to
forensics | the application of investigation and analysis techniques to gather and preserve evidence
fuzzing | an automated software testing technique that involves providing invalid, unexpected, or random data as inputs
gobuster | a tool used to brute-force URIs including directories and files as well as DNS subdomains
hashcat | the world's fastest password recovery utility supporting five unique modes of attack for over 300 highly optimized hashing algorithms
honeypot | a security mechanism set to detect, deflect, or counteract attempts at unauthorized use of information systems
hydra | a parallelized login cracker which supports numerous protocols to attack
icmp | internet control message protocol; used by network devices to send error messages and operational information
ids | intrusion detection system; a device or software application that monitors a network for malicious activity
ike-scan | a tool that uses the IKE protocol to discover, fingerprint, and test IPsec VPN servers
impacket | a collection of Python classes for working with network protocols
information gathering | the process of collecting data about a target system or network to identify potential vulnerabilities
john the ripper | a fast password cracker currently available for many flavors of Unix, Windows, and DOS
kerberos | a computer-network authentication protocol that works on the basis of tickets to allow nodes to prove their identity
keylogger | a type of surveillance technology used to monitor and record each keystroke typed on a specific computer's keyboard
kismet | a wireless network detector, sniffer, and intrusion detection system
lateral movement | techniques that cyber attackers use to progressively move through a network searching for targeted data
linpeas | linux privilege escalation awesome script; a script that searches for possible paths to escalate privileges
log analysis | the process of reviewing, interpreting, and understanding computer-generated records called logs
malware | any software intentionally designed to cause disruption to a computer, server, client, or computer network
man in the middle | an attack where the attacker secretly relays and possibly alters communications between two parties
masscan | an internet-scale port scanner capable of scanning the entire internet in under 6 minutes
metasploit | a computer security project that provides information about security vulnerabilities and aids in penetration testing
meterpreter | an advanced, dynamically extensible payload that uses in-memory DLL injection stagers
mimikatz | a utility to extract plaintexts passwords, hash, PIN code and kerberos tickets from memory
mitre att&ck | a globally accessible knowledge base of adversary tactics and techniques based on real-world observations
msfvenom | a combination of msfpayload and msfencode putting both tools into a single framework instance
nessus | a proprietary vulnerability scanner developed by Tenable
netcat | a computer networking utility for reading from and writing to network connections using TCP or UDP
network scanning | the process of gathering information about a network to identify active hosts and services
nikto | an open source web server scanner which performs comprehensive tests against web servers
nmap | network mapper; a free and open-source utility for network discovery and security auditing
nslookup | a network administration command-line tool for querying the Domain Name System
openvas | an open-source vulnerability scanner and vulnerability management solution
oscp | offensive security certified professional; an ethical hacking certification
osint | open source intelligence; the collection and analysis of data gathered from open sources
packet sniffing | the process of intercepting and logging traffic that passes over a digital network
pass the hash | a hacking technique that allows an attacker to authenticate to a remote server or service using the hash
payload | the part of transmitted data that is the actual intended message
pentest | penetration test; an authorized simulated cyberattack on a computer system performed to evaluate security
phishing | a type of social engineering where an attacker sends a fraudulent message designed to trick a human victim
ping | a computer network administration software utility used to test the reachability of a host
port scanning | the process of sending packets to specific ports on a host and analyzing the responses to identify services
post exploitation | the phase after initial access where an attacker maintains access and gathers data
privilege escalation | the act of exploiting a bug or design flaw in an operating system or software application to gain elevated access
proxychains | a tool that forces any TCP connection made by any given application to follow through proxy
rainbow table | a precomputed table for reversing cryptographic hash functions
ransomware | a type of malware that threatens to publish the victim's data or perpetually block access to it unless a ransom is paid
reconnaissance | the act of gathering preliminary data or intelligence on a target system or network
reverse engineering | the process by which a man-made object is deconstructed to reveal its designs or architecture
reverse shell | a type of shell where the target machine communicates back to the attacking machine
rootkit | a collection of computer software, typically malicious, designed to enable access to a computer
scanning | the process of probing a target network or system for open ports and vulnerabilities
session hijacking | the exploitation of a valid computer session to gain unauthorized access to information or services
set | the social-engineer toolkit; an open-source penetration testing framework designed for social engineering
shellcode | a small piece of code used as the payload in the exploitation of a software vulnerability
sniffing | the process of monitoring and capturing all data packets passing through a given network
social engineering | the psychological manipulation of people into performing actions or divulging confidential information
spoofing | the act of disguising a communication from an unknown source as being from a known, trusted source
sql injection | a code injection technique used to attack data-driven applications by inserting malicious SQL statements
ssh tunneling | a method of transporting arbitrary networking data over an encrypted SSH connection
ssl stripping | a type of man-in-the-middle attack where the attacker downgrades a secure HTTPS connection to HTTP
steganography | the practice of concealing a file, message, image, or video within another file, message, image, or video
sudo | a program for Unix-like computer operating systems that allows users to run programs with the security privileges of another user
tcpdump | a common packet analyzer that runs under the command line
threat hunting | the process of proactively searching for cyber threats that are lurking undetected in a network
tls fingerprinting | a technique to identify clients based on the fields and extensions in their TLS handshake
trojan | a type of malware that is often disguised as legitimate software
vulnerability | a weakness in a system that can be exploited by a threat actor
wardriving | the act of searching for Wi-Fi wireless networks by a person usually in a moving vehicle
web shell | a script that can be uploaded to a web server to enable remote administration
white hat | an ethical computer hacker who specializes in penetration testing and other testing methodologies
wifi cracking | the process of exploiting security weaknesses in wireless networks to gain unauthorized access
wireshark | a free and open-source packet analyzer used for network troubleshooting and analysis
wps | wi-fi protected setup; a network security standard to create a secure wireless home network
xss | cross-site scripting; a type of security vulnerability typically found in web applications
zero day | a vulnerability in a system or device that has been disclosed but is not yet patched
zombie | a computer connected to the internet that has been compromised by a hacker, virus, or trojan horse
