# COMPUTER SCIENCE & SOFTWARE ENGINEERING
# Format: term | definition

abstraction | the process of removing physical, spatial, or temporal details to focus on essential features
agile | a set of principles for software development under which requirements and solutions evolve through collaboration
api | application programming interface; a set of protocols and tools for building software applications
array | a data structure consisting of a collection of elements, each identified by at least one array index
assembler | a program that converts assembly language into machine code
assembly | a low-level programming language with a strong correspondence between instructions and machine architecture
async | a programming pattern that allows multiple operations to run concurrently without blocking execution
backend | the server-side part of a software application that handles data storage, business logic, and processing
big o notation | a mathematical notation describing the limiting behavior of a function when the argument tends toward infinity
binary | a numbering system with base 2 using only digits 0 and 1
binary search | a search algorithm that finds the position of a target value within a sorted array
bit | the basic unit of information in computing and digital communications
boolean | a data type with two possible values representing true and false
breakpoint | an intentional stopping or pausing place in a program put in place for debugging purposes
buffer | a region of physical memory storage used to temporarily store data while it is being moved
bug | an error, flaw, or fault in a computer program or system that causes it to produce incorrect results
byte | a unit of digital information that most commonly consists of eight bits
cache | a hardware or software component that stores data so future requests can be served faster
call stack | a stack data structure that stores information about active subroutines of a computer program
class | a template for creating objects in object-oriented programming, providing initial values and implementations
closure | a function bundled together with references to its surrounding state
compiler | a computer program that translates computer code written in one programming language into another
complexity | the amount of resources required for a computer to solve a problem
concurrency | the ability of different parts or units of a program to be executed out-of-order or in partial order
cpu | central processing unit; the electronic circuitry within a computer that carries out instructions
cryptography | the practice and study of techniques for secure communication in the presence of adversaries
daemon | a computer program that runs as a background process rather than being under direct control of a user
database | an organized collection of data stored and accessed electronically
data structure | a data organization, management, and storage format that enables efficient access and modification
deadlock | a state in which each member of a group is waiting for another member to take action
debugging | the process of finding and resolving defects or problems within a computer program
dependency | a broad term used to describe when one piece of software relies on another
design pattern | a general repeatable solution to a commonly occurring problem in software design
devops | a set of practices that combines software development and IT operations to shorten the systems development life cycle
distributed system | a system whose components are located on different networked computers
dns | domain name system; a hierarchical and decentralized naming system for computers and services
docker | a set of platform as a service products that use OS-level virtualization to deliver software in packages
domain | a sphere of knowledge identified by a name, typically a network domain on the internet
encapsulation | the bundling of data with the methods that operate on that data, or restricting direct access
endianness | the order or sequence of bytes of a word of digital data in computer memory
exception | an event that occurs during the execution of a program that disrupts the normal flow of instructions
firewall | a network security system that monitors and controls incoming and outgoing network traffic
firmware | a specific class of computer software that provides low-level control for a device's specific hardware
framework | a platform for developing software applications providing a foundation on which software developers can build
frontend | the client-side part of a software application that users interact with directly
full stack | a developer who can work on both the front end and back end of a website or application
garbage collection | a form of automatic memory management attempting to reclaim memory occupied by objects no longer in use
git | a distributed version control system for tracking changes in source code during software development
graph | a non-linear data structure consisting of nodes and edges
hash | a function that converts an input of letters and numbers into an encrypted output of a fixed length
heap | a specialized tree-based data structure that satisfies the heap property
hexadecimal | a positional numeral system with a radix of 16 using sixteen distinct symbols
http | hypertext transfer protocol; the foundation of data communication for the World Wide Web
https | an extension of HTTP for secure communication over a computer network
